UNIT FILE                                  STATE           VENDOR PRESET
arp-ethers.service                         disabled        disabled
auditd.service                             enabled         enabled
autovt@.service                            alias           -
blk-availability.service                   disabled        disabled
chrony-wait.service                        disabled        disabled
chronyd.service                            enabled         enabled
console-getty.service                      disabled        disabled
container-getty@.service                   static          -
cpupower.service                           disabled        disabled
crond.service                              enabled         enabled
dbus-broker.service                        enabled         enabled
dbus-org.fedoraproject.FirewallD1.service  alias           -
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus.service                               alias           -
debug-shell.service                        disabled        disabled
dm-event.service                           static          -
dnf-makecache.service                      static          -
dracut-cmdline.service                     static          -
dracut-initqueue.service                   static          -
dracut-mount.service                       static          -
dracut-pre-mount.service                   static          -
dracut-pre-pivot.service                   static          -
dracut-pre-trigger.service                 static          -
dracut-pre-udev.service                    static          -
dracut-shutdown-onfailure.service          static          -
dracut-shutdown.service                    static          -
emergency.service                          static          -
firewalld.service                          enabled         enabled
fstrim.service                             static          -
getty@.service                             enabled         enabled
grub-boot-indeterminate.service            static          -
grub2-systemd-integration.service          static          -
haveged-once.service                       static          -
haveged-switch-root.service                disabled        disabled
haveged.service                            enabled         disabled
http-server.service                        enabled         disabled
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
irqbalance.service                         enabled         enabled
kdump.service                              disabled        enabled
kmod-static-nodes.service                  static          -
kvm_stat.service                           disabled        disabled
ldconfig.service                           static          -
logrotate.service                          static          -
lvm2-lvmpolld.service                      static          -
lvm2-monitor.service                       enabled         enabled
man-db-cache-update.service                static          -
man-db-restart-cache-update.service        disabled        disabled
mlocate-updatedb.service                   static          -
modprobe@.service                          static          -
NetworkManager-dispatcher.service          enabled         enabled
NetworkManager-wait-online.service         enabled         disabled
NetworkManager.service                     enabled         enabled
nftables.service                           disabled        disabled
nis-domainname.service                     enabled         enabled
nm-priv-helper.service                     static          -
oddjobd.service                            disabled        disabled
pam_namespace.service                      static          -
polkit.service                             static          -
quotaon.service                            static          -
rc-local.service                           static          -
rdisc.service                              disabled        disabled
rescue.service                             static          -
rpmdb-rebuild.service                      disabled        disabled
rsyslog.service                            enabled         enabled
selinux-autorelabel-mark.service           enabled         enabled
selinux-autorelabel.service                static          -
serial-getty@.service                      disabled        disabled
sshd-keygen@.service                       disabled        disabled
sshd.service                               enabled         enabled
sshd@.service                              static          -
sssd-autofs.service                        indirect        disabled
sssd-kcm.service                           indirect        disabled
sssd-nss.service                           indirect        disabled
sssd-pac.service                           indirect        disabled
sssd-pam.service                           indirect        disabled
sssd-ssh.service                           indirect        disabled
sssd-sudo.service                          indirect        disabled
sssd.service                               enabled         enabled
sysstat-collect.service                    static          -
sysstat-summary.service                    static          -
sysstat.service                            enabled         enabled
system-update-cleanup.service              static          -
systemd-ask-password-console.service       static          -
systemd-ask-password-wall.service          static          -
systemd-backlight@.service                 static          -
systemd-binfmt.service                     static          -
systemd-boot-check-no-failures.service     disabled        disabled
systemd-coredump@.service                  static          -
systemd-exit.service                       static          -
systemd-firstboot.service                  static          -
systemd-fsck-root.service                  static          -
systemd-fsck@.service                      static          -
systemd-halt.service                       static          -
systemd-hibernate-resume@.service          static          -
systemd-hibernate.service                  static          -
systemd-hostnamed.service                  static          -
systemd-hwdb-update.service                static          -
systemd-hybrid-sleep.service               static          -
systemd-initctl.service                    static          -
systemd-journal-catalog-update.service     static          -
systemd-journal-flush.service              static          -
systemd-journald.service                   static          -
systemd-journald@.service                  static          -
systemd-kexec.service                      static          -
systemd-localed.service                    static          -
systemd-logind.service                     static          -
systemd-machine-id-commit.service          static          -
systemd-modules-load.service               static          -
systemd-network-generator.service          enabled         enabled
systemd-poweroff.service                   static          -
systemd-pstore.service                     disabled        enabled
systemd-quotacheck.service                 static          -
systemd-random-seed.service                static          -
systemd-reboot.service                     static          -
systemd-remount-fs.service                 enabled-runtime disabled
systemd-repart.service                     static          -
systemd-rfkill.service                     static          -
systemd-suspend-then-hibernate.service     static          -
systemd-suspend.service                    static          -
systemd-sysctl.service                     static          -
systemd-sysext.service                     disabled        disabled
systemd-sysusers.service                   static          -
systemd-timedated.service                  static          -
systemd-tmpfiles-clean.service             static          -
systemd-tmpfiles-setup-dev.service         static          -
systemd-tmpfiles-setup.service             static          -
systemd-udev-settle.service                static          -
systemd-udev-trigger.service               static          -
systemd-udevd.service                      static          -
systemd-update-done.service                static          -
systemd-update-utmp-runlevel.service       static          -
systemd-update-utmp.service                static          -
systemd-user-sessions.service              static          -
systemd-vconsole-setup.service             static          -
systemd-volatile-root.service              static          -
teamd@.service                             static          -
tuned.service                              enabled         enabled
user-runtime-dir@.service                  static          -
user@.service                              static          -
vboxadd-service.service                    enabled         disabled
vboxadd.service                            enabled         disabled

148 unit files listed.
